condition_concept_id,concept_name,vocabulary_id
30968,Diabetes insipidus,SNOMED
31821,Disorder of endocrine system,SNOMED
72404,Joint stiffness,SNOMED
72418,Scoliosis deformity of spine,SNOMED
72469,Closed traumatic dislocation of joint of shoulder region,SNOMED
72487,Crushing injury of foot,SNOMED
72501,Superficial foreign body of foot without major open wound AND without infection,SNOMED
72618,Disorder of skeletal muscle,SNOMED
31317,Dysphagia,SNOMED
31598,Hypertrophy of tonsils AND adenoids,SNOMED
31602,Disorder of the larynx,SNOMED
72711,Shoulder stiff,SNOMED
72714,Chronic polyarticular juvenile rheumatoid arthritis,SNOMED
72717,Postoperative heterotopic calcification,SNOMED
72748,Strain of rotator cuff capsule,SNOMED
72405,Degenerative joint disease of shoulder region,SNOMED
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",SNOMED
31967,Nausea,SNOMED
72576,Benign tumor of breast,SNOMED
72266,Secondary malignant neoplasm of pleura,SNOMED
72407,Effusion of joint of shoulder region,SNOMED
72693,Poor fetal growth affecting management,SNOMED
72708,Traumatic arthropathy of the shoulder region,SNOMED
72715,Exostosis,SNOMED
24134,Neck pain,SNOMED
72413,Nontraumatic rupture of muscle,SNOMED
72415,Synovial plica,SNOMED
24974,Stenosis of larynx,SNOMED
72421,Solitary bone cyst,SNOMED
25211,Iatrogenic pituitary disorder,SNOMED
72737,Microcalcifications of the breast,SNOMED
25572,Disorder of salivary gland,SNOMED
25748,Overlapping malignant neoplasm of esophagus,SNOMED
73045,Sprain of hand,SNOMED
73075,Contusion of upper limb,SNOMED
72457,Closed fracture of sacrum AND/OR coccyx without spinal cord injury,SNOMED
72712,Synovial cyst,SNOMED
25844,Ulcer of esophagus,SNOMED
72986,Disorder of lower leg,SNOMED
73153,Malignant neoplasm of lateral wall of urinary bladder,SNOMED
73231,Arthralgia of temporomandibular joint,SNOMED
26378,Hyperpituitarism,SNOMED
73366,Crushing injury of lower leg,SNOMED
73378,Frostbite of foot,SNOMED
72993,"Localized, primary osteoarthritis",SNOMED
73560,Calcaneal spur,SNOMED
73575,Deformity of toe,SNOMED
72995,Contracture of joint of hand,SNOMED
26727,Hematemesis,SNOMED
73001,Myositis,SNOMED
27321,Persistent vomiting,SNOMED
72990,Localized osteoarthrosis uncertain if primary OR secondary,SNOMED
73008,Enthesopathy,SNOMED
73041,Closed fracture of five ribs,SNOMED
73026,Abnormal breath sounds,SNOMED
73065,"Contusion, genital organs",SNOMED
73267,Breech malpresentation successfully converted to cephalic presentation,SNOMED
73090,Contusion of foot,SNOMED
73290,Contracture of joint,SNOMED
27587,Disturbance of salivary secretion,SNOMED
73300,Radial styloid tenosynovitis,SNOMED
27918,Eosinophilic esophagitis,SNOMED
73301,Synovitis/tenosynovitis - wrist,SNOMED
28109,Carcinoma in situ of esophagus,SNOMED
73336,Closed traumatic dislocation ankle joint,SNOMED
73302,Curvature of spine,SNOMED
73546,Disorder of breast associated with childbirth,SNOMED
28457,Hypertrophy of tonsils,SNOMED
73341,Closed fracture of head of radius,SNOMED
28714,Syndrome of diencephalo-hypophyseal origin,SNOMED
73383,Third degree burn of foot,SNOMED
73561,Loose body in joint of shoulder region,SNOMED
73562,Solitary sacroiliitis,SNOMED
73564,Full thickness rotator cuff tear,SNOMED
73571,Pathological fracture,SNOMED
73574,Nonunion of fracture,SNOMED
73840,"Localized, primary osteoarthritis of the shoulder region",SNOMED
29735,Candidiasis of mouth,SNOMED
73614,Closed fracture of seven ribs,SNOMED
73673,Disorder of prosthetic joint,SNOMED
73904,"Open wound of buttock, uncomplicated",SNOMED
73843,Synovial cyst of popliteal space,SNOMED
73906,Open wound of wrist with tendon involvement,SNOMED
73712,Malignant tumor of vault of bladder,SNOMED
73923,Contusion of upper arm,SNOMED
30133,Acute laryngitis,SNOMED
30441,Sialolithiasis,SNOMED
30515,Congenital stenosis of esophagus,SNOMED
73925,Burn of upper limb,SNOMED
74188,Closed fracture of rib,SNOMED
30679,Benign neoplasm of major salivary gland,SNOMED
74114,Cellulitis and abscess of foot excluding toe,SNOMED
74458,Enthesopathy of knee,SNOMED
74470,Congenital anomaly of upper limb,SNOMED
74130,Thoracic spondylosis without myelopathy,SNOMED
74511,Open wound of knee and/or leg and/or ankle with complication,SNOMED
74135,Disorder of synovium,SNOMED
31610,Disorder of esophagus,SNOMED
74635,Lumbosacral radiculopathy,SNOMED
73754,Restless legs,SNOMED
74138,Pathological fracture of vertebra,SNOMED
74216,Injury of nerves at shoulder and upper arm level,SNOMED
72459,Closed fracture of two ribs,SNOMED
74698,Breech presentation,SNOMED
73801,Scrotal varices,SNOMED
74415,Genitourinary tract infection in pregnancy - not delivered,SNOMED
74472,Congenital deformity of foot,SNOMED
74522,Third degree burn of chest wall,SNOMED
72465,Closed fracture of one or more phalanges of hand,SNOMED
74719,Ulcer of foot,SNOMED
72521,Immersion foot,SNOMED
74806,Open wound of finger with complication,SNOMED
74582,Primary malignant neoplasm of rectum,SNOMED
74606,Benign neoplasm of bone,SNOMED
72578,Neoplasm of uncertain behavior of breast,SNOMED
72786,"Burn of single finger, not thumb",SNOMED
74723,Arthropathy associated with a neurological disorder,SNOMED
74726,Dislocation of joint,SNOMED
73036,Closed fracture of olecranon process of ulna,SNOMED
74729,"Ganglion and cyst of synovium, tendon and bursa",SNOMED
74763,Open fracture of olecranon process of ulna,SNOMED
73819,Pain of breast,SNOMED
74777,Closed fracture of talus,SNOMED
74809,Crushing injury of hand,SNOMED
74892,Articular gout,SNOMED
73866,Congenital anomaly of breast,SNOMED
75043,Hemarthrosis of knee,SNOMED
73884,Closed fracture of three ribs,SNOMED
74052,Labyrinthitis,SNOMED
75051,Derangement of posterior horn of medial meniscus,SNOMED
75052,Enthesopathy of wrist AND/OR carpus,SNOMED
74125,Inflammatory polyarthropathy,SNOMED
73089,Contusion of buttock,SNOMED
74127,Contracture of elbow joint,SNOMED
74174,Urinary symptoms,SNOMED
73241,Anal and rectal polyp,SNOMED
73338,Sprain of lateral collateral ligament of knee,SNOMED
74194,Sprain of spinal ligament,SNOMED
74250,Burn of foot,SNOMED
73537,Breech presentation - delivered,SNOMED
74396,Temporomandibular joint disorder,SNOMED
75004,Frank hematuria,SNOMED
75091,Closed fracture of carpal bone,SNOMED
75206,"Benign neoplasm of pelvic bones, sacrum and coccyx",SNOMED
75385,"Closed fracture distal humerus, lateral epicondyle",SNOMED
75389,Current tear of lateral cartilage AND/OR meniscus of knee,SNOMED
75488,Primary malignant neoplasm of vertebral column,SNOMED
75605,"Fetal death, affecting management of mother",SNOMED
75620,Traumatic arthropathy of the ankle and/or foot,SNOMED
75637,Acquired postural kyphosis,SNOMED
74464,Idiopathic scoliosis AND/OR kyphoscoliosis,SNOMED
74469,Light-for-dates without fetal malnutrition,SNOMED
75652,Congenital valgus deformity of foot,SNOMED
75709,Third degree burn of upper limb,SNOMED
75863,Chronic interstitial cystitis,SNOMED
75865,Disorder of the urinary system,SNOMED
75053,Fracture of bone,SNOMED
75065,Acquired deformity of spine,SNOMED
74728,Synovitis and tenosynovitis,SNOMED
74768,Closed fracture of triquetral bone of wrist,SNOMED
75121,Burn of lower leg,SNOMED
75346,Derangement of meniscus,SNOMED
75354,Osteochondropathy,SNOMED
73553,Arthropathy,SNOMED
73576,Acquired chest and rib deformity,SNOMED
75095,Closed fracture of ankle,SNOMED
75365,Oliguria and anuria,SNOMED
73649,Contusion of finger,SNOMED
73841,Multiple stiff joints,SNOMED
73889,Sprain of distal tibiofibular ligament,SNOMED
75576,Irritable bowel syndrome,SNOMED
75580,Chronic ulcerative proctitis,SNOMED
75617,Degenerative joint disease involving multiple joints,SNOMED
75634,Fracture malunion,SNOMED
75650,Proteinuria,SNOMED
75708,Foreign body in anus and rectum,SNOMED
75909,Disorder of bone,SNOMED
74132,Degeneration of lumbosacral intervertebral disc,SNOMED
75128,Injury of chest wall,SNOMED
74189,Sprain of cruciate ligament of knee,SNOMED
75311,Fibrosclerosis of breast,SNOMED
75406,Crushing injury of finger,SNOMED
75426,Burn of hand,SNOMED
75668,Sprain of sacroiliac region,SNOMED
75686,Open wound of hand except fingers with complication,SNOMED
75689,Contusion of breast,SNOMED
75721,Prosthetic joint mechanical failure,SNOMED
75897,Polyarthropathy,SNOMED
76240,Closed fracture pubis,SNOMED
74725,Displacement of cervical intervertebral disc without myelopathy,SNOMED
74786,Internal injury of chest,SNOMED
74816,Contusion of toe,SNOMED
76482,Missed miscarriage,SNOMED
76835,Closed traumatic dislocation of elbow joint,SNOMED
77066,Derangement of medial meniscus,SNOMED
74855,Genital herpes simplex,SNOMED
77067,Bucket handle tear of lateral meniscus of knee,SNOMED
75010,Fibroadenosis of breast,SNOMED
76161,Impotence of organic origin,SNOMED
77081,Tibialis tendinitis,SNOMED
77403,Closed fracture of vertebral column without spinal cord injury,SNOMED
77455,Burn of chest wall,SNOMED
77631,"Localized, secondary osteoarthritis of the shoulder region",SNOMED
77647,Mallet finger,SNOMED
76194,Osteoarthrosis involving multiple sites but not designated as generalized,SNOMED
77650,Aseptic necrosis of bone,SNOMED
76472,Dysplasia of anus,SNOMED
76508,Infective myositis,SNOMED
77812,Malignant neoplasm of anterior wall of urinary bladder,SNOMED
77960,Joint finding,SNOMED
76545,Closed traumatic dislocation of patellofemoral joint,SNOMED
77961,Disseminated idiopathic skeletal hyperostosis,SNOMED
76563,Late effect of burn of wrist AND/OR hand,SNOMED
77987,Respiratory finding of chest,SNOMED
78015,"Open wound of chest wall, uncomplicated",SNOMED
78093,Primary malignant neoplasm of pleura,SNOMED
78149,Congenital hereditary muscular dystrophy,SNOMED
78267,Closed anterior dislocation of humerus,SNOMED
78308,Osteolysis,SNOMED
75036,"Localized, primary osteoarthritis of the hand",SNOMED
75039,Loose body in knee,SNOMED
78472,Microscopic hematuria,SNOMED
75337,Cellulitis and abscess of buttock,SNOMED
75343,Contracture of hip joint,SNOMED
76611,Injury of shoulder region,SNOMED
76685,Myasthenia gravis,SNOMED
76745,Capsular breast contracture of breast implant,SNOMED
75344,Intervertebral disc disorder,SNOMED
75382,Closed fractures of tarsal AND metatarsal bones,SNOMED
75408,Second degree burn of elbow,SNOMED
75623,Old anterior cruciate ligament disruption,SNOMED
75667,Sprain of calcaneofibular ligament,SNOMED
75690,Third degree burn of ankle,SNOMED
75756,Malignant neoplasm of posterior wall of urinary bladder,SNOMED
76786,Derangement of knee,SNOMED
76002,Mechanical complication due to breast prosthesis,SNOMED
76191,Disorder of upper arm,SNOMED
76202,Non-traumatic rupture of Achilles tendon,SNOMED
76273,Open wound of shoulder region without complication,SNOMED
76388,Post-thoracotomy pain syndrome,SNOMED
76836,Sprain of knee and leg,SNOMED
76870,Third degree burn of wrist,SNOMED
76565,Contusion of shoulder region,SNOMED
76573,Third degree burn of hand,SNOMED
76756,Breech presentation with antenatal problem,SNOMED
77072,Joint effusion of ankle AND/OR foot,SNOMED
76783,Recurrent dislocation of ankle AND/OR foot,SNOMED
76790,Hypermobility syndrome,SNOMED
76791,Acquired deformity of hip,SNOMED
76797,Congenital malformation of genital organs,SNOMED
77139,Open wound of finger without complication,SNOMED
77030,Disorder of breast,SNOMED
77338,Malposition and malpresentation of fetus,SNOMED
77637,Recurrent dislocation of knee,SNOMED
77638,Displacement of intervertebral disc without myelopathy,SNOMED
77644,Adhesive capsulitis of shoulder,SNOMED
77079,Spinal stenosis,SNOMED
77129,Closed fracture of pelvis,SNOMED
77146,Open wound of finger with tendon involvement,SNOMED
75860,Constipation,SNOMED
77162,Injury of ankle,SNOMED
77373,Congenital deformity of hip joint,SNOMED
75911,Acquired hallux valgus,SNOMED
75941,Closed fracture of one rib,SNOMED
75954,Sprain of interphalangeal joint of finger,SNOMED
75994,Third degree burn of shoulder,SNOMED
76150,Ulcer of rectum,SNOMED
76153,Low compliance bladder,SNOMED
76503,Contracture of joint of shoulder region,SNOMED
76542,Open fracture of one or more phalanges of hand,SNOMED
76574,Third degree burn of lower leg,SNOMED
77421,Open wound of hand except fingers without complication,SNOMED
76725,Anal fissure,SNOMED
76737,Hydrocele,SNOMED
77635,Disorder of hand,SNOMED
76887,Disorders of urogenital prostheses or implants,SNOMED
77025,Diverticulitis of colon,SNOMED
78508,Arthralgia of the ankle and/or foot,SNOMED
78518,Finding of shoulder joint,SNOMED
78771,Labyrinthine dysfunction,SNOMED
79165,Closed Monteggia's fracture,SNOMED
79833,Ménière's disease,SNOMED
77074,Joint pain,SNOMED
77076,Diastasis of muscle,SNOMED
77131,Open fracture of talus,SNOMED
79864,Hematuria syndrome,SNOMED
79873,Urolith,SNOMED
79916,Acquired hallux rigidus,SNOMED
79938,Closed fracture of scapula,SNOMED
80045,Primary malignant neoplasm of anus,SNOMED
80182,Dermatomyositis,SNOMED
80189,Displacement of lumbar intervertebral disc without myelopathy,SNOMED
80482,Suppurative arthritis,SNOMED
80504,Acquired genu valgum,SNOMED
77234,Benign neoplasm of colon,SNOMED
80509,Bone cyst,SNOMED
80512,Acquired kyphosis,SNOMED
77310,Deep vein phlebitis and thrombophlebitis of the leg,SNOMED
77317,Chronic ulcerative rectosigmoiditis,SNOMED
77395,Current tear of semilunar cartilage,SNOMED
80552,Closed fracture of scaphoid bone of wrist,SNOMED
77437,Third degree burn of upper arm,SNOMED
77517,Benign neoplasm of scapula and long bones of upper limb,SNOMED
77630,Disorder of shoulder,SNOMED
77734,Contusion of lower leg,SNOMED
77646,Disorder of bone and articular cartilage,SNOMED
77955,Articular cartilage disorder of shoulder region,SNOMED
78011,Sprain of metacarpophalangeal joint,SNOMED
78193,Orchitis and epididymitis,SNOMED
78227,Degenerative joint disease of hand,SNOMED
77673,Sign or symptom of the urinary system,SNOMED
80767,Breast lump,SNOMED
80800,Polymyositis,SNOMED
77702,Multiple closed fractures of pelvis with disruption of pelvic circle,SNOMED
80802,"Localized, secondary osteoarthritis",SNOMED
77719,Open wound of upper arm without complication,SNOMED
80852,Closed fracture of four ribs,SNOMED
78228,Joint derangement,SNOMED
80861,Closed fracture of ischium,SNOMED
80874,Open wound of multiple sites of one upper limb without complication,SNOMED
81106,Acquired genu varum,SNOMED
77965,Acquired trigger finger,SNOMED
81175,Contusion of chest,SNOMED
81186,Contusion of wrist,SNOMED
81303,Labyrinthine disorder,SNOMED
81357,Genitourinary tract infection in pregnancy - delivered,SNOMED
78234,Hand joint pain,SNOMED
78236,Muscle atrophy,SNOMED
78237,Bicipital tenosynovitis,SNOMED
78272,Sprain of wrist,SNOMED
78097,Secondary malignant neoplasm of bone,SNOMED
81611,Diverticular disease of colon,SNOMED
81670,Congenital anomaly of spine,SNOMED
78200,Benign mammary dysplasia,SNOMED
78219,Cellulitis and abscess of hand excluding digits,SNOMED
77670,Chest pain,SNOMED
78235,Disorder of coccyx,SNOMED
78257,Osteogenesis imperfecta,SNOMED
81878,Benign paroxysmal positional vertigo,SNOMED
78497,Cellulitis and abscess of toe,SNOMED
132412,Post-laminectomy syndrome,SNOMED
132494,Second degree burn of toe,SNOMED
78273,Closed fracture of multiple ribs,SNOMED
78509,Loose body in joint of ankle and/or foot,SNOMED
77701,Closed fracture of six ribs,SNOMED
77707,Sprain of deltoid ligament of ankle,SNOMED
77952,Loose body in joint of upper arm,SNOMED
77956,Pathological dislocation of ankle AND/OR foot,SNOMED
77963,Achilles tendinitis,SNOMED
78110,Carcinoma in situ of anus,SNOMED
132579,Subacute thyroiditis,SNOMED
132702,Erythema multiforme,SNOMED
78162,Peripheral vertigo,SNOMED
132703,Lichen planus,SNOMED
132706,Disorder of nail,SNOMED
132862,"Carcinoma in situ of skin of trunk, excluding scrotum",SNOMED
132943,Acute periodontitis,SNOMED
132982,Keloid scar,SNOMED
132983,Dermatographic urticaria,SNOMED
133002,Acute osteomyelitis,SNOMED
133013,Congenital anomaly of spinal cord,SNOMED
133154,Plasma cell leukemia,SNOMED
133169,Myelofibrosis,SNOMED
133228,Dental caries,SNOMED
133280,Alopecia,SNOMED
133295,Inflammatory spondylopathy,SNOMED
133298,Musculoskeletal disorder of the neck,SNOMED
78473,Solitary cyst of breast,SNOMED
133384,Burn any degree involving less than 10 percent of body surface,SNOMED
133414,Candidiasis of skin and nails,SNOMED
133419,Overlapping malignant melanoma of skin,SNOMED
133569,Fasciitis,SNOMED
78505,"Localized, primary osteoarthritis of the ankle and/or foot",SNOMED
78524,Acquired deformity of finger,SNOMED
78579,Closed fracture of first cervical vertebra,SNOMED
78593,Open wound of wrist without complication,SNOMED
78606,Open wound of elbow without complication,SNOMED
78890,Sprain of elbow and forearm,SNOMED
79072,Inflammatory disorder of breast,SNOMED
79104,Loose body in joint,SNOMED
78517,Multiple joint pain,SNOMED
78529,Kyphoscoliosis and scoliosis,SNOMED
78619,Contusion of knee,SNOMED
78804,Fibrocystic disease of breast,SNOMED
78829,Pyogenic arthritis of the ankle and/or foot,SNOMED
78834,Effusion of joint of hand,SNOMED
78888,Open fracture of ankle,SNOMED
78987,Secondary malignant neoplasm of urinary system,SNOMED
79119,Thoracic spondylosis with myelopathy,SNOMED
79145,Ehlers-Danlos syndrome,SNOMED
79161,Closed fracture of glenoid cavity AND/OR neck of scapula,SNOMED
79173,Traumatic closed dislocation of temporomandibular joint,SNOMED
79240,Prosthetic joint dislocation,SNOMED
79884,Galactorrhea not associated with childbirth,SNOMED
79904,"Localized, secondary osteoarthritis of the hand",SNOMED
79106,Arthralgia of the pelvic region and thigh,SNOMED
79113,Traumatic dislocation of ankle joint,SNOMED
79121,Aseptic necrosis of talus,SNOMED
79167,Open fracture of distal phalanx of finger,SNOMED
79172,Closed fracture of coronoid process of ulna,SNOMED
79174,Open fracture of calcaneus,SNOMED
79740,Overlapping malignant neoplasm of colon,SNOMED
79804,Steinert myotonic dystrophy syndrome,SNOMED
79917,Acquired deformity of toe,SNOMED
80008,Breakage of joint prosthesis,SNOMED
78232,Shoulder joint pain,SNOMED
78243,Congenital spondylolysis of lumbosacral region,SNOMED
78357,Reiter's disease,SNOMED
78474,Hypertrophy of breast,SNOMED
78512,Joint contracture of the ankle and/or foot,SNOMED
78516,Arthralgia of the upper arm,SNOMED
78560,Congenital anomaly of foot,SNOMED
78605,Contusion of elbow,SNOMED
134057,Disorder of cardiovascular system,SNOMED
78786,Pleurisy,SNOMED
79061,Slow transit constipation,SNOMED
79908,Muscle weakness,SNOMED
79069,Disorder of rectum,SNOMED
134159,Precordial pain,SNOMED
79116,Disorder of tendon of shoulder region,SNOMED
134243,Second degree burn of knee,SNOMED
79936,Polyuria,SNOMED
134304,Benign neoplasm of parathyroid gland,SNOMED
79127,Congenital spondylolisthesis,SNOMED
79768,Neoplasm of urinary system,SNOMED
134398,Periodontal disease,SNOMED
79897,Obstetric non-purulent mastitis - delivered with postnatal complication,SNOMED
134442,Systemic sclerosis,SNOMED
79898,Cellulitis and abscess of finger,SNOMED
79903,Effusion of joint,SNOMED
134452,Olecranon bursitis,SNOMED
134521,Second degree burn of scalp,SNOMED
80141,Functional diarrhea,SNOMED
134534,Third degree burn of forearm,SNOMED
80187,Medial epicondylitis,SNOMED
80180,Osteoarthritis,SNOMED
134681,Diffuse spasm of esophagus,SNOMED
80004,Injury of hand,SNOMED
80177,Pyogenic arthritis of the pelvic region and thigh,SNOMED
134718,Hirsutism,SNOMED
134743,Congenital ichthyosis of skin,SNOMED
80183,"Localized, secondary osteoarthritis of the ankle and/or foot",SNOMED
80186,Recurrent dislocation of shoulder region,SNOMED
80205,Condition in fetus originating in the perinatal period,SNOMED
80249,Sprain of acromioclavicular ligament,SNOMED
80242,Current tear of medial cartilage AND/OR meniscus of knee,SNOMED
80286,Prosthetic joint loosening,SNOMED
80399,Hereditary progressive muscular dystrophy,SNOMED
80474,Shoulder dystocia - delivered,SNOMED
80471,Disorder of lactation,SNOMED
80492,Contracture of knee joint,SNOMED
80493,Ankylosis of joint,SNOMED
80497,Disorder of cervical spine,SNOMED
80232,Closed fracture of calcaneus,SNOMED
80241,Closed fracture of navicular bone of foot,SNOMED
134898,Non-toxic uninodular goiter,SNOMED
135214,Polycythemia vera,SNOMED
135338,Pemphigus,SNOMED
135349,Compartment syndrome of upper limb,SNOMED
135601,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered,SNOMED
80269,Mechanical complication of internal joint prosthesis,SNOMED
135615,Pityriasis,SNOMED
135699,Burn any degree involving 10-19 percent of body surface,SNOMED
135717,Injury at C1-C4 level with central cord syndrome AND without bone injury,SNOMED
80463,Fetus with chromosomal abnormality with antenatal problem,SNOMED
80523,Congenital fusion of spine,SNOMED
80541,Closed fracture of eight OR more ribs,SNOMED
135858,Disorder of lip,SNOMED
80593,Urinary complication,SNOMED
80665,Malignant neoplasm of thorax,SNOMED
80824,Senile osteoporosis,SNOMED
81099,Pyogenic arthritis of shoulder region,SNOMED
80813,Lumbosacral spondylosis without myelopathy,SNOMED
136198,Cervical spondylosis with myelopathy,SNOMED
80815,Ganglion of joint,SNOMED
80816,Degeneration of intervertebral disc,SNOMED
80819,Acquired hallux varus,SNOMED
136237,Cardiovascular system problem,SNOMED
81151,Sprain of ankle,SNOMED
81169,Superficial foreign body of finger without major open wound AND without infection,SNOMED
81358,Transverse OR oblique presentation of fetus,SNOMED
80502,Osteoporosis,SNOMED
80573,Contusion of ankle,SNOMED
80778,Genitourinary tract infection in pregnancy - delivered with postnatal complication,SNOMED
81379,Lateral epicondylitis,SNOMED
81403,Osteopetrosis,SNOMED
81636,Excessive fetal growth affecting management of mother,SNOMED
81707,Closed fracture of cuboid bone of foot,SNOMED
81721,Open wound of hand except fingers with tendon involvement,SNOMED
136497,Scar conditions and fibrosis of skin,SNOMED
81723,Contusion of hand,SNOMED
136755,Thyroid dysfunction during pregnancy - baby delivered,SNOMED
136775,Contact dermatitis due to solar radiation,SNOMED
136834,Closed intertrochanteric fracture,SNOMED
136865,Injury of radial nerve,SNOMED
136928,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes",SNOMED
136960,Vascular myelopathy,SNOMED
137054,Skin striae,SNOMED
137063,Corns and callus,SNOMED
137350,Radiation dermatitis,SNOMED
137426,Open wound of forearm without complication,SNOMED
137729,Burn of back,SNOMED
137785,Verruca plantaris,SNOMED
137813,Benign neoplasm of mouth region,SNOMED
80809,Rheumatoid arthritis,SNOMED
80914,Second degree burn of two OR more fingers not including thumb,SNOMED
80946,Tinea manus,SNOMED
137977,Jaundice,SNOMED
80951,Candidiasis of urogenital site,SNOMED
81064,Pseudopolyposis of colon,SNOMED
81144,Sprain of medial collateral ligament of knee,SNOMED
81178,Third degree burn of two OR more fingers not including thumb,SNOMED
81237,Primary malignant neoplasm of upper limb bones and scapula,SNOMED
138225,Disorder of sebaceous gland,SNOMED
138255,Abnormal cardiovascular function,SNOMED
81380,Cervical syndrome,SNOMED
81390,Idiopathic osteoporosis,SNOMED
81424,Closed traumatic dislocation of knee joint,SNOMED
138293,Second degree burns of multiple sites,SNOMED
138346,Erysipelas,SNOMED
81454,Injury of finger,SNOMED
138389,Benign neoplasm of scalp and skin of neck,SNOMED
138466,Leukoplakia of oral mucosa,SNOMED
81696,Closed fracture of acetabulum,SNOMED
138502,Vitiligo,SNOMED
81711,Glenoid labrum detachment,SNOMED
81937,Traumatic arthropathy of the hand,SNOMED
132277,Neoplasm of uncertain behavior of endocrine glands and nervous system,SNOMED
132342,Apraxia,SNOMED
132449,Transient limb paralysis,SNOMED
132583,Postablative hypothyroidism,SNOMED
132617,Diplegic cerebral palsy,SNOMED
132776,Injury involving multiple body regions,SNOMED
81893,Ulcerative colitis,SNOMED
132797,Sepsis,SNOMED
132841,Malignant lymphoma of lymph nodes of multiple sites,SNOMED
132852,Leukemic reticuloendotheliosis of extranodal AND/OR solid organ site,SNOMED
133283,Pyoderma gangrenosum,SNOMED
133351,Open wound of cheek without complication,SNOMED
133367,Second degree burn of wrist,SNOMED
133637,Second degree burn of lower limb,SNOMED
133655,Burn of forearm,SNOMED
81112,Arthralgia of the lower leg,SNOMED
133711,Overlapping malignant neoplasm of female breast,SNOMED
81141,Closed fracture of ilium,SNOMED
133713,Malignant melanoma of skin of face,SNOMED
133714,Malignant melanoma of skin of trunk,SNOMED
81250,Carcinoma in situ of breast,SNOMED
81286,Toxic myopathy,SNOMED
133810,Hyperparathyroidism due to renal insufficiency,SNOMED
81336,Rectal prolapse,SNOMED
81378,Chondromalacia of patella,SNOMED
81426,Closed fracture of clavicle,SNOMED
133834,Atopic dermatitis,SNOMED
81634,Ptotic breast,SNOMED
81713,Carpal joint sprain,SNOMED
133926,Second degree burn of upper arm,SNOMED
134115,Photodermatitis due to sun,SNOMED
81942,Enthesopathy of ankle AND/OR tarsus,SNOMED
132391,Furuncle of face,SNOMED
132393,Pressure ulcer stage 1,SNOMED
134116,Dermatitis due to drug AND/OR medicine taken internally,SNOMED
134248,Second degree burn of thumb,SNOMED
138525,Pain in limb,SNOMED
138526,Compartment syndrome of lower limb,SNOMED
138601,Open wound of face with complication,SNOMED
134305,Acute lymphoid leukemia,SNOMED
134331,Cauda equina syndrome without neurogenic bladder,SNOMED
134380,Erythromelalgia,SNOMED
134386,Gingival recession,SNOMED
134453,Bursitis,SNOMED
134661,Chronic sphenoidal sinusitis,SNOMED
134734,Compartment syndrome,SNOMED
134735,Chronic osteomyelitis,SNOMED
134746,Finger clubbing,SNOMED
135496,Acute leukemia in remission,SNOMED
135764,Mycosis fungoides of lymph nodes of multiple sites,SNOMED
