drug_concept_id,concept_name,vocabulary_id
906780,Metoclopramide,RxNorm
906891,Metoclopramide 10 MG Oral Tablet,RxNorm
906917,Urea 400 MG/ML Topical Cream,RxNorm
906933,Metoclopramide 5 MG Oral Tablet,RxNorm
906973,Urea 200 MG/ML Topical Cream,RxNorm
907013,Metolazone,RxNorm
907016,Metolazone 2.5 MG Oral Tablet,RxNorm
907020,Metolazone 5 MG Oral Tablet,RxNorm
908464,magnesium carbonate,RxNorm
908523,Mineral Oil,RxNorm
908543,Calcium Carbonate 311 MG / magnesium carbonate 232 MG Oral Capsule,RxNorm
908944,calcipotriene 0.00005 MG/MG Topical Ointment,RxNorm
908948,calcipotriene 0.05 MG/ML Topical Cream,RxNorm
909647,Menthol 20 MG/ML / methyl salicylate 5 MG/ML Topical Cream,RxNorm
911101,Zinc Oxide 0.4 MG/MG Topical Ointment,RxNorm
911735,rabeprazole,RxNorm
911912,Fiber 600 MG Oral Tablet,RxNorm
912263,certolizumab pegol,RxNorm
913782,tolterodine,RxNorm
914335,Atropine,RxNorm
915981,Neomycin,RxNorm
916005,Solifenacin,RxNorm
916006,solifenacin succinate 5 MG Oral Tablet,RxNorm
916008,solifenacin succinate 10 MG Oral Tablet,RxNorm
916230,darifenacin,RxNorm
916499,Bacitracin 0.5 UNT/MG / Neomycin 0.005 MG/MG / Polymyxin B 0.4 UNT/MG Topical Ointment,RxNorm
917207,Desonide 0.5 MG/ML Topical Lotion,RxNorm
917310,Desonide 0.5 MG/ML Topical Cream,RxNorm
917338,Desoximetasone 2.5 MG/ML Topical Cream,RxNorm
917339,Desoximetasone 0.0025 MG/MG Topical Ointment,RxNorm
918363,Benzoyl Peroxide 0.05 MG/MG / Erythromycin 0.03 MG/MG Topical Gel,RxNorm
918634,Benzoyl Peroxide 0.1 MG/MG Topical Gel,RxNorm
918906,oxybutynin,RxNorm
920293,Nitrofurantoin,RxNorm
920300,Nitrofurantoin 5 MG/ML Oral Suspension,RxNorm
920332,Nitrofurantoin 100 MG Oral Capsule,RxNorm
920334,"NITROFURANTOIN, MACROCRYSTALS 50 MG Oral Capsule",RxNorm
920949,Augmented Betamethasone 0.5 MG/ML Topical Cream,RxNorm
922570,Nystatin,RxNorm
922802,Nystatin 100000 UNT/ML Topical Cream,RxNorm
923115,Ofloxacin 3 MG/ML Otic Solution,RxNorm
923645,Omeprazole,RxNorm
923647,Omeprazole 10 MG Delayed Release Oral Capsule,RxNorm
923672,Hyoscyamine,RxNorm
923720,Omeprazole 20 MG / Sodium Bicarbonate 1100 MG Oral Capsule,RxNorm
923829,Opium,RxNorm
924172,Pentosan Polysulfate 100 MG Oral Capsule,RxNorm
924566,tamsulosin,RxNorm
924724,Dicyclomine,RxNorm
924939,Bisacodyl,RxNorm
928744,Dimenhydrinate,RxNorm
929202,Polyethylene Glycol 400 4 MG/ML / Propylene glycol 3 MG/ML Ophthalmic Solution,RxNorm
929435,Acetazolamide,RxNorm
929519,12 HR Acetazolamide 500 MG Extended Release Oral Capsule,RxNorm
929887,lansoprazole,RxNorm
929889,lansoprazole 30 MG Delayed Release Oral Capsule,RxNorm
929924,lansoprazole 15 MG Disintegrating Oral Tablet,RxNorm
930021,alfuzosin,RxNorm
932745,Bumetanide,RxNorm
932749,Bumetanide 1 MG Oral Tablet,RxNorm
932750,Bumetanide 2 MG Oral Tablet,RxNorm
933724,Phenazopyridine,RxNorm
937368,infliximab,RxNorm
937791,bismuth subsalicylate,RxNorm
938268,"sennosides, USP",RxNorm
938330,"sennosides, USP 8.6 MG Oral Tablet",RxNorm
938435,"sennosides, USP 8.6 MG Oral Capsule",RxNorm
939259,Budesonide,RxNorm
939300,Budesonide 0.032 MG/ACTUAT Nasal Spray,RxNorm
939506,Sodium Bicarbonate,RxNorm
939509,Sodium Bicarbonate 325 MG Oral Tablet,RxNorm
939510,Sodium Bicarbonate 650 MG Oral Tablet,RxNorm
939902,Capsaicin 0.75 MG/ML Topical Cream,RxNorm
939903,Capsaicin 0.25 MG/ML Topical Cream,RxNorm
941258,Docusate,RxNorm
941477,terconazole 4 MG/ML Vaginal Cream,RxNorm
942207,"Mineral Oil 0.2 MG/MG / Petrolatum, White 0.8 MG/MG Ophthalmic Ointment",RxNorm
942350,torsemide,RxNorm
942382,torsemide 10 MG Oral Tablet,RxNorm
942384,torsemide 20 MG Oral Tablet,RxNorm
945286,Pilocarpine,RxNorm
947732,podofilox 5 MG/ML Topical Solution,RxNorm
948078,pantoprazole,RxNorm
948079,pantoprazole 20 MG Delayed Release Oral Tablet,RxNorm
948637,Polymyxin B 10000 UNT/ML / Trimethoprim 1 MG/ML Ophthalmic Solution,RxNorm
948694,Dexamethasone 0.001 MG/MG / Neomycin 0.005 MG/MG / Polymyxin B 10 UNT/MG Ophthalmic Ointment,RxNorm
949279,Carboxymethylcellulose,RxNorm
950183,Lactase,RxNorm
950217,Lactase 3000 UNT Oral Tablet,RxNorm
950220,Lactase 9000 UNT Oral Tablet,RxNorm
950637,Tacrolimus,RxNorm
950641,Tacrolimus 1 MG Oral Capsule,RxNorm
950667,Tacrolimus 0.0003 MG/MG Topical Ointment,RxNorm
950669,Tacrolimus 0.001 MG/MG Topical Ointment,RxNorm
951469,calcium acetate,RxNorm
951530,calcium acetate 667 MG Oral Capsule,RxNorm
951536,Mupirocin 20 MG/ML Topical Cream,RxNorm
951537,Mupirocin 0.02 MG/MG Nasal Ointment,RxNorm
952004,sevelamer,RxNorm
953076,Famotidine,RxNorm
953113,Famotidine 40 MG Oral Tablet,RxNorm
954688,latanoprost,RxNorm
954819,cevimeline,RxNorm
956874,Furosemide,RxNorm
956877,Furosemide 80 MG Oral Tablet,RxNorm
957136,Furosemide 40 MG Oral Tablet,RxNorm
957797,Psyllium,RxNorm
957951,Psyllium 1700 MG Oral Wafer,RxNorm
958211,Psyllium 520 MG Oral Capsule,RxNorm
961047,Ranitidine,RxNorm
961050,Ranitidine 150 MG Oral Tablet,RxNorm
961051,Ranitidine 300 MG Oral Capsule,RxNorm
961082,Ranitidine 300 MG Oral Tablet,RxNorm
961145,Glycerin,RxNorm
961167,Ranitidine 25 MG/ML Injectable Solution,RxNorm
961168,Ranitidine 75 MG Oral Tablet,RxNorm
961264,Ranitidine 1 MG/ML Oral Solution,RxNorm
963353,Glycopyrrolate,RxNorm
963355,Glycopyrrolate 1 MG Oral Tablet,RxNorm
964339,Sulfasalazine,RxNorm
964362,Sulfasalazine 500 MG Oral Tablet,RxNorm
964369,Sulfasalazine 500 MG Delayed Release Oral Tablet,RxNorm
964979,Salicylic Acid 170 MG/ML Topical Solution,RxNorm
965713,Salicylic Acid 400 MG/ML Medicated Pad,RxNorm
965748,Scopolamine,RxNorm
965777,72 HR Scopolamine 0.0139 MG/HR Transdermal System,RxNorm
966282,Selenium,RxNorm
966991,Simethicone,RxNorm
967012,Simethicone 125 MG Oral Capsule,RxNorm
967434,Simethicone 80 MG Chewable Tablet,RxNorm
967566,loteprednol etabonate 5 MG/ML Ophthalmic Suspension,RxNorm
967823,Sodium Chloride,RxNorm
967861,magnesium citrate,RxNorm
968205,Sodium Chloride 0.154 MEQ/ML Irrigation Solution,RxNorm
968426,mesalamine,RxNorm
968635,mesalamine 500 MG Extended Release Oral Capsule,RxNorm
968639,mesalamine 1200 MG Delayed Release Oral Tablet,RxNorm
968667,mesalamine 800 MG Delayed Release Oral Tablet,RxNorm
970250,Spironolactone,RxNorm
970282,Spironolactone 100 MG Oral Tablet,RxNorm
970283,Spironolactone 50 MG Oral Tablet,RxNorm
974166,Hydrochlorothiazide,RxNorm
974199,Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet,RxNorm
974200,Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet,RxNorm
974201,Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet,RxNorm
974226,Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet,RxNorm
975125,Hydrocortisone,RxNorm
975168,Hydrocortisone 10 MG Oral Tablet,RxNorm
975193,Hydrocortisone 5 MG Oral Tablet,RxNorm
975861,Acetic Acid 20 MG/ML / Hydrocortisone 10 MG/ML Otic Solution,RxNorm
976545,potassium citrate,RxNorm
976546,potassium citrate 5 MEQ Extended Release Oral Tablet,RxNorm
976547,potassium citrate 10 MEQ Extended Release Oral Tablet,RxNorm
976780,hydroquinone 40 MG/ML Topical Cream,RxNorm
978239,Eflornithine 139 MG/ML Topical Cream,RxNorm
978555,Indapamide,RxNorm
978556,Indapamide 1.25 MG Oral Tablet,RxNorm
979096,Zinc Acetate,RxNorm
979097,Zinc Acetate 25 MG Oral Capsule,RxNorm
981656,penciclovir 10 MG/ML Topical Cream,RxNorm
981780,adapalene 1 MG/ML Topical Cream,RxNorm
981804,adapalene 0.003 MG/MG Topical Gel,RxNorm
981807,adapalene 0.001 MG/MG / Benzoyl Peroxide 0.025 MG/MG Topical Gel,RxNorm
984232,Isotretinoin,RxNorm
984235,Isotretinoin 10 MG Oral Capsule,RxNorm
984236,Isotretinoin 20 MG Oral Capsule,RxNorm
984237,Isotretinoin 40 MG Oral Capsule,RxNorm
985708,Ketoconazole,RxNorm
985711,Ketoconazole 200 MG Oral Tablet,RxNorm
986148,Ketotifen 0.25 MG/ML Ophthalmic Solution,RxNorm
986417,POLYETHYLENE GLYCOL 3350,RxNorm
987153,Lactobacillus acidophilus,RxNorm
987188,Lactobacillus acidophilus 1000000000 UNT Oral Tablet,RxNorm
987245,Lactulose,RxNorm
987250,Lactulose 667 MG/ML Oral Solution,RxNorm
987366,lubiprostone,RxNorm
987368,lubiprostone 0.024 MG Oral Capsule,RxNorm
987371,lubiprostone 0.008 MG Oral Capsule,RxNorm
989482,Dutasteride,RxNorm
989485,Dutasteride 0.5 MG Oral Capsule,RxNorm
989878,Lidocaine,RxNorm
989898,Lidocaine 25 MG/ML / Prilocaine 25 MG/ML Topical Cream,RxNorm
990340,Pancrelipase,RxNorm
990678,Chlordiazepoxide,RxNorm
991382,Amiloride,RxNorm
991825,Trospium,RxNorm
991855,Saccharomyces boulardii,RxNorm
991876,Loperamide,RxNorm
992956,Magnesium Hydroxide,RxNorm
993372,Magnesium Hydroxide 311 MG Chewable Tablet,RxNorm
993631,Magnesium Oxide,RxNorm
993653,Magnesium Oxide 400 MG Oral Tablet,RxNorm
993690,Magnesium Oxide 250 MG Oral Tablet,RxNorm
993732,Magnesium Oxide 500 MG Oral Tablet,RxNorm
993770,Magnesium Oxide 500 MG Oral Capsule,RxNorm
994341,Meclizine,RxNorm
996416,Finasteride,RxNorm
997276,Cimetidine,RxNorm
997881,Clindamycin,RxNorm
997892,Clindamycin 150 MG Oral Capsule,RxNorm
997893,Clindamycin 10 MG/ML Topical Lotion,RxNorm
997899,Clindamycin 300 MG Oral Capsule,RxNorm
1000560,Ondansetron,RxNorm
1000632,Clotrimazole,RxNorm
1000772,Granisetron,RxNorm
1036228,Sucralfate,RxNorm
1036232,Sucralfate 100 MG/ML Oral Suspension,RxNorm
1036233,Sucralfate 1000 MG Oral Tablet,RxNorm
1037005,dronabinol,RxNorm
1037007,dronabinol 2.5 MG Oral Capsule,RxNorm
1037008,dronabinol 5 MG Oral Capsule,RxNorm
1101554,Colchicine,RxNorm
1101556,Colchicine 0.6 MG Oral Tablet,RxNorm
1101898,leflunomide,RxNorm
1102527,Meperidine,RxNorm
1103006,desloratadine,RxNorm
1103314,Tramadol,RxNorm
1103359,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet,RxNorm
1103640,Methadone,RxNorm
1106776,tiotropium,RxNorm
1107830,Loratadine,RxNorm
1107882,Loratadine 10 MG Oral Tablet,RxNorm
1107883,Loratadine 10 MG Disintegrating Oral Tablet,RxNorm
1107927,Loratadine 1 MG/ML Oral Solution,RxNorm
1107966,Loratadine 10 MG Oral Capsule,RxNorm
1110410,Morphine,RxNorm
1110727,Cyproheptadine,RxNorm
1110942,omalizumab,RxNorm
1112807,Aspirin,RxNorm
1112892,Aspirin 325 MG Delayed Release Oral Tablet,RxNorm
1112896,Aspirin 500 MG Oral Tablet,RxNorm
1112921,Ipratropium,RxNorm
1112922,Aspirin 162 MG Delayed Release Oral Tablet,RxNorm
1113041,200 ACTUAT Ipratropium Bromide 0.017 MG/ACTUAT Metered Dose Inhaler,RxNorm
1113073,Ipratropium Bromide 0.021 MG/ACTUAT Nasal Spray,RxNorm
1113074,Ipratropium Bromide 0.042 MG/ACTUAT Nasal Spray,RxNorm
1113076,Ipratropium Bromide 0.2 MG/ML Inhalation Solution,RxNorm
1113346,Aspirin 81 MG Chewable Tablet,RxNorm
1113614,Aspirin 81 MG Disintegrating Oral Tablet,RxNorm
1113648,nabumetone,RxNorm
1113672,nabumetone 500 MG Oral Tablet,RxNorm
1113673,nabumetone 750 MG Oral Tablet,RxNorm
1114220,Naloxone,RxNorm
1115008,Naproxen,RxNorm
1115067,Naproxen 500 MG Delayed Release Oral Tablet,RxNorm
1115129,Naproxen sodium 550 MG Oral Tablet,RxNorm
1115171,Naproxen sodium 220 MG Oral Tablet,RxNorm
1115572,Beclomethasone,RxNorm
1116031,zolmitriptan,RxNorm
1118084,celecoxib,RxNorm
1118115,celecoxib 50 MG Oral Capsule,RxNorm
1118117,naratriptan,RxNorm
1118121,naratriptan 2.5 MG Oral Tablet,RxNorm
1119119,adalimumab,RxNorm
1119510,Dextromethorphan,RxNorm
1124300,Diclofenac,RxNorm
1124957,Oxycodone,RxNorm
1125315,Acetaminophen,RxNorm
1125358,Acetaminophen 325 MG Oral Capsule,RxNorm
1125360,Acetaminophen 500 MG Oral Capsule,RxNorm
1125392,Acetaminophen 650 MG Rectal Suppository,RxNorm
1125393,Acetaminophen 650 MG Oral Tablet,RxNorm
1125443,Dornase Alfa,RxNorm
1125765,Oxymorphone,RxNorm
1126557,Dihydroergotamine,RxNorm
1126658,Hydromorphone,RxNorm
1126750,Acetaminophen 100 MG/ML Oral Solution,RxNorm
1127433,Acetaminophen 325 MG Oral Tablet,RxNorm
1129625,Diphenhydramine,RxNorm
1133201,Buprenorphine,RxNorm
1133229,Buprenorphine 2 MG Sublingual Tablet,RxNorm
1133230,Buprenorphine 8 MG Sublingual Tablet,RxNorm
1133262,Buprenorphine 8 MG / Naloxone 2 MG Sublingual Tablet,RxNorm
1134439,Caffeine,RxNorm
1134769,Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule,RxNorm
1134771,Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet,RxNorm
1135766,Phenylephrine,RxNorm
1136422,levocetirizine,RxNorm
1136601,benzonatate,RxNorm
1136682,benzonatate 100 MG Oral Capsule,RxNorm
1136687,benzonatate 200 MG Oral Capsule,RxNorm
1136980,Ketorolac,RxNorm
1137460,Salsalate,RxNorm
1137529,salmeterol,RxNorm
1139042,Acetylcysteine,RxNorm
1139123,Acetylcysteine 500 MG Oral Capsule,RxNorm
1140643,Sumatriptan,RxNorm
1140648,Sumatriptan 5 MG/ACTUAT Nasal Spray,RxNorm
1140650,Sumatriptan 50 MG Oral Tablet,RxNorm
1140672,Sumatriptan 20 MG/ACTUAT Nasal Spray,RxNorm
1140673,Sumatriptan 25 MG Oral Tablet,RxNorm
1140706,0.5 ML Sumatriptan 12 MG/ML Prefilled Syringe,RxNorm
1146810,Piroxicam,RxNorm
1149196,Cetirizine,RxNorm
1149380,fluticasone,RxNorm
1150345,meloxicam,RxNorm
1150347,meloxicam 15 MG Oral Tablet,RxNorm
1150351,meloxicam 7.5 MG Oral Tablet,RxNorm
1150871,Misoprostol,RxNorm
1150926,Misoprostol 0.2 MG Oral Tablet,RxNorm
1151422,Probenecid,RxNorm
1151423,Probenecid 500 MG Oral Tablet,RxNorm
1151789,Etanercept,RxNorm
