procedure_concept_id,concept_name,vocabulary_id
2102137,"Insertion, non-biodegradable drug delivery implant",CPT4
2102138,"Removal, non-biodegradable drug delivery implant",CPT4
2102140,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",CPT4
2102141,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",CPT4
2102152,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm",CPT4
2102153,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",CPT4
2102156,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",CPT4
2102157,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",CPT4
2102158,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",CPT4
2102159,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",CPT4
2102165,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less",CPT4
2102166,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",CPT4
2102167,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm",CPT4
2102168,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm",CPT4
2102171,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less",CPT4
2102192,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",CPT4
2102197,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",CPT4
2102198,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",CPT4
2102199,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",CPT4
2102200,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",CPT4
2102215,"Repair, complex, trunk; 1.1 cm to 2.5 cm",CPT4
2102216,"Repair, complex, trunk; 2.6 cm to 7.5 cm",CPT4
2102217,"Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)",CPT4
2102218,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm",CPT4
2102219,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm",CPT4
2102220,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)",CPT4
2102221,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",CPT4
2102232,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm",CPT4
2102233,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure)",CPT4
2102235,"Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm",CPT4
2102236,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm",CPT4
2102238,"Secondary closure of surgical wound or dehiscence, extensive or complicated",CPT4
2102241,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",CPT4
2102252,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm",CPT4
2102253,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less",CPT4
2102254,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm",CPT4
2102255,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less",CPT4
2102256,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm",CPT4
2102261,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children",CPT4
2102273,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; first 100 sq cm or 1% of body area of infants and children",CPT4
2102277,"Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)",CPT4
2102278,"Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)",CPT4
2102293,"Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)",CPT4
2102321,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less",CPT4
2102333,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",CPT4
2102335,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less",CPT4
2102398,"Delay of flap or sectioning of flap (division and inset); at eyelids, nose, ears, or lips",CPT4
2102400,"Forehead flap with preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead flap)",CPT4
2102401,"Muscle, myocutaneous, or fasciocutaneous flap; head and neck (eg, temporalis, masseter muscle, sternocleidomastoid, levator scapulae)",CPT4
2102460,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid",CPT4
2102476,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4
2102572,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)",CPT4
2102577,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses); first lesion",CPT4
2102578,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses); second through 14 lesions, each (List separately in addition to code for first lesion)",CPT4
2102579,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses), 15 or more lesions",CPT4
2102592,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); over 50.0 sq cm",CPT4
2102593,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions",CPT4
2102594,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions",CPT4
2102595,"Chemical cauterization of granulation tissue (ie, proud flesh)",CPT4
2102598,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm",CPT4
2102639,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks",CPT4
2102640,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)",CPT4
2102641,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; first stage, up to 5 tissue blocks",CPT4
2102652,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)",CPT4
2102657,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue",CPT4
2102673,"Biopsy of breast; open, incisional",CPT4
2102679,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions",CPT4
2102680,"Excision of breast lesion identified by preoperative placement of radiological marker, open; single lesion",CPT4
2102720,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy)",CPT4
2102732,"Mastectomy, simple, complete",CPT4
2102733,"Mastectomy, subcutaneous",CPT4
2102736,"Mastectomy, modified radical, including axillary lymph nodes, with or without pectoralis minor muscle, but excluding pectoralis major muscle",CPT4
2102737,Mastopexy,CPT4
2102738,Reduction mammaplasty,CPT4
2102741,Removal of intact mammary implant,CPT4
2102753,"Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",CPT4
2102754,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",CPT4
2102755,Nipple/areola reconstruction,CPT4
2102757,"Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion",CPT4
2102760,Breast reconstruction with other technique,CPT4
2102774,"Open periprosthetic capsulotomy, breast",CPT4
2102775,"Periprosthetic capsulectomy, breast",CPT4
2102776,Revision of reconstructed breast,CPT4
2102821,Exploration of penetrating wound (separate procedure); extremity,CPT4
2102832,"Vital signs (temperature, pulse, respiratory rate, and blood pressure) documented and reviewed (CAP) (EM)",CPT4
2102833,Mental status assessed (CAP) (EM),CPT4
2102838,"Biopsy, muscle; deep",CPT4
2102839,"Biopsy, muscle, percutaneous needle",CPT4
2102852,"Biopsy, bone, trocar, or needle; superficial (eg, ilium, sternum, spinous process, ribs)",CPT4
2102853,"Biopsy, bone, trocar, or needle; deep (eg, vertebral body, femur)",CPT4
2102855,"Biopsy, bone, open; superficial (eg, sternum, spinous process, rib, patella, olecranon process, calcaneus, tarsal, metatarsal, carpal, metacarpal, phalanx)",CPT4
2102856,"Biopsy, bone, open; deep (eg, humeral shaft, ischium, femoral shaft)",CPT4
2102880,Injection of sinus tract; diagnostic (sinogram),CPT4
2102894,"Injection, therapeutic (eg, local anesthetic, corticosteroid), carpal tunnel",CPT4
2102895,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")",CPT4
2102896,Injection(s); single tendon origin/insertion,CPT4
2102897,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",CPT4
2102898,"Injection(s); single or multiple trigger point(s), 3 or more muscles",CPT4
2102900,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",CPT4
2102901,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance",CPT4
2102912,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",CPT4
2102913,Aspiration and/or injection of ganglion cyst(s) any location,CPT4
2102915,"Insertion of wire or pin with application of skeletal traction, including removal (separate procedure)",CPT4
2102932,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)",CPT4
2102933,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)",CPT4
2102937,"Removal, under anesthesia, of external fixation system",CPT4
2102958,"Bone graft, any donor area; minor or small (eg, dowel or button)",CPT4
2102961,Cartilage graft; nasal septum,CPT4
2102975,"Tissue grafts, other (eg, paratenon, fat, dermis)",CPT4
2102977,"Allograft, structural, for spine surgery only (List separately in addition to code for primary procedure)",CPT4
2103017,"Unlisted procedure, musculoskeletal system, general",CPT4
2103038,"Excision of benign tumor or cyst of mandible, by enucleation and/or curettage",CPT4
2103119,"Reconstruction midface, LeFort I; 2 pieces, segment movement in any direction, requiring bone grafts (includes obtaining autografts) (eg, ungrafted unilateral alveolar cleft)",CPT4
2103159,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation",CPT4
2103178,"Graft; ear cartilage, autogenous, to nose or ear (includes obtaining graft)",CPT4
2103221,Unlisted craniofacial and maxillofacial procedure,CPT4
2103235,Closed treatment of nasal bone fracture; with stabilization,CPT4
2103240,"Closed treatment of nasal septal fracture, with or without stabilization",CPT4
2103273,"Open treatment of complicated (eg, comminuted or involving cranial nerve foramina) fracture(s) of malar area, including zygomatic arch and malar tripod; with internal fixation and multiple surgical approaches",CPT4
2103278,"Open treatment of orbital floor blowout fracture; periorbital approach, with alloplastic or other implant",CPT4
2103318,Closed treatment of mandibular fracture with interdental fixation,CPT4
2103320,Open treatment of mandibular fracture; without interdental fixation,CPT4
2103321,Open treatment of mandibular fracture; with interdental fixation,CPT4
2103333,"Open treatment of complicated mandibular fracture by multiple surgical approaches including internal fixation, interdental fixation, and/or wiring of dentures or splints",CPT4
2103556,Anterior instrumentation; 2 to 3 vertebral segments (List separately in addition to code for primary procedure),CPT4
2103596,"Capsular contracture release (eg, Sever type procedure)",CPT4
2103632,Claviculectomy; partial,CPT4
2103677,Injection procedure for shoulder arthrography or enhanced CT/MRI shoulder arthrography,CPT4
2103693,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; acute",CPT4
2103697,Tenodesis of long tendon of biceps,CPT4
2103721,Closed treatment of clavicular fracture; without manipulation,CPT4
2103733,"Open treatment of clavicular fracture, includes internal fixation, when performed",CPT4
2103740,"Open treatment of acromioclavicular dislocation, acute or chronic",CPT4
2103755,Closed treatment of proximal humeral (surgical or anatomical neck) fracture; without manipulation,CPT4
2103772,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia",CPT4
2103779,"Manipulation under anesthesia, shoulder joint, including application of fixation apparatus (dislocation excluded)",CPT4
2103795,"Unlisted procedure, shoulder",CPT4
2103905,"Reinsertion of ruptured biceps or triceps tendon, distal, with or without tendon graft",CPT4
2103973,"Closed treatment of humeral shaft fracture; with manipulation, with or without skeletal traction",CPT4
2104001,Treatment of closed elbow dislocation; without anesthesia,CPT4
2104017,Closed treatment of radial head or neck fracture; without manipulation,CPT4
2104033,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed",CPT4
2104055,"Incision, extensor tendon sheath, wrist (eg, de Quervains disease)",CPT4
2104097,"Excision of ganglion, wrist (dorsal or volar); primary",CPT4
2104174,"Tendon transplantation or transfer, flexor or extensor, forearm and/or wrist, single; each tendon",CPT4
2104221,"Repair of nonunion, scaphoid carpal (navicular) bone, with or without radial styloidectomy (includes obtaining graft and necessary fixation)",CPT4
2104238,"Arthroplasty, interposition, intercarpal or carpometacarpal joints",CPT4
2104278,"Closed treatment of distal radial fracture (eg, Colles or Smith type) or epiphyseal separation, includes closed treatment of fracture of ulnar styloid, when performed; without manipulation",CPT4
2104279,"Closed treatment of distal radial fracture (eg, Colles or Smith type) or epiphyseal separation, includes closed treatment of fracture of ulnar styloid, when performed; with manipulation",CPT4
2104280,Percutaneous skeletal fixation of distal radial fracture or epiphyseal separation,CPT4
2104281,"Open treatment of distal radial extra-articular fracture or epiphyseal separation, with internal fixation",CPT4
2104292,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 2 fragments,CPT4
2104293,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments,CPT4
2104298,"Open treatment of carpal scaphoid (navicular) fracture, includes internal fixation, when performed",CPT4
2104373,Drainage of finger abscess; simple,CPT4
2104381,"Fasciotomy, palmar (eg, Dupuytren's contracture); percutaneous",CPT4
2104393,"Tendon sheath incision (eg, for trigger finger)",CPT4
2104401,"Excision, tumor or vascular malformation, soft tissue of hand or finger, subcutaneous; less than 1.5 cm",CPT4
2104415,"Fasciectomy, partial palmar with release of single digit including proximal interphalangeal joint, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft)",CPT4
2104421,"Excision of lesion of tendon sheath or joint capsule (eg, cyst, mucous cyst, or ganglion), hand or finger",CPT4
2104459,"Repair or advancement, flexor tendon, not in zone 2 digital flexor tendon sheath (eg, no man's land); primary or secondary without free graft, each tendon",CPT4
2104461,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land); primary, without free graft, each tendon",CPT4
2104493,"Repair, extensor tendon, finger, primary or secondary; without free graft, each tendon",CPT4
2104501,"Tenolysis, flexor tendon; palm OR finger, each tendon",CPT4
2104513,"Tenolysis, extensor tendon, hand OR finger, each tendon",CPT4
2104534,"Transfer or transplant of tendon, carpometacarpal area or dorsum of hand; without free graft, each tendon",CPT4
2104574,"Capsulectomy or capsulotomy; interphalangeal joint, each joint",CPT4
2104579,"Repair of collateral ligament, metacarpophalangeal or interphalangeal joint",CPT4
2104635,"Closed treatment of metacarpal fracture, single; without manipulation, each bone",CPT4
2104636,"Closed treatment of metacarpal fracture, single; with manipulation, each bone",CPT4
2104639,"Open treatment of metacarpal fracture, single, includes internal fixation, when performed, each bone",CPT4
2104673,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; without manipulation, each",CPT4
2104674,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb; with manipulation, with or without skin or skeletal traction, each",CPT4
2104675,"Percutaneous skeletal fixation of unstable phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, with manipulation, each",CPT4
2104676,"Open treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, includes internal fixation, when performed, each",CPT4
2104680,"Closed treatment of distal phalangeal fracture, finger or thumb; without manipulation, each",CPT4
2104694,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia",CPT4
2104713,"Arthrodesis, metacarpophalangeal joint, with or without internal fixation",CPT4
2104715,"Arthrodesis, interphalangeal joint, with or without internal fixation",CPT4
2104720,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure",CPT4
2104721,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood)",CPT4
2104921,"Closed treatment of hip dislocation, traumatic; without anesthesia",CPT4
2105070,"Ligamentous reconstruction (augmentation), knee; extra-articular",CPT4
2105204,Closed treatment of patellar dislocation; without anesthesia,CPT4
2105207,Manipulation of knee joint under general anesthesia (includes application of traction or other fixation devices),CPT4
2105265,"Excision or curettage of bone cyst or benign tumor, tibia or fibula",CPT4
2105284,"Repair, primary, open or percutaneous, ruptured Achilles tendon",CPT4
2105286,"Repair, secondary, Achilles tendon, with or without graft",CPT4
2105306,"Lengthening or shortening of tendon, leg or ankle; single tendon (separate procedure)",CPT4
2105308,"Gastrocnemius recession (eg, Strayer procedure)",CPT4
2105310,"Transfer or transplant of single tendon (with muscle redirection or rerouting); deep (eg, anterior tibial or posterior tibial through interosseous space, flexor digitorum longus, flexor hallucis longus, or peroneal tendon to midfoot or hindfoot)",CPT4
2105367,"Closed treatment of tibial shaft fracture (with or without fibular fracture); with manipulation, with or without skeletal traction",CPT4
2105390,Closed treatment of distal fibular fracture (lateral malleolus); without manipulation,CPT4
2105391,Closed treatment of distal fibular fracture (lateral malleolus); with manipulation,CPT4
2105402,"Open treatment of distal fibular fracture (lateral malleolus), includes internal fixation, when performed",CPT4
2105404,"Closed treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli or medial and posterior malleoli); with manipulation",CPT4
2105405,"Open treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli, or medial and posterior malleoli), includes internal fixation, when performed",CPT4
2105407,Closed treatment of trimalleolar ankle fracture; with manipulation,CPT4
2105411,"Closed treatment of fracture of weight bearing articular portion of distal tibia (eg, pilon or tibial plafond), with or without anesthesia; with skeletal traction and/or requiring manipulation",CPT4
2105425,"Open treatment of distal tibiofibular joint (syndesmosis) disruption, includes internal fixation, when performed",CPT4
2105429,Closed treatment of ankle dislocation; without anesthesia,CPT4
2105550,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); talus or calcaneus",CPT4
2105626,"Correction, hammertoe (eg, interphalangeal fusion, partial or total phalangectomy)",CPT4
2105629,"Hallux rigidus correction with cheilectomy, debridement and capsular release of the first metatarsophalangeal joint; without implant",CPT4
2105645,"Correction, hallux valgus (bunionectomy), with sesamoidectomy, when performed; with first metatarsal and medial cuneiform joint arthrodesis, any method",CPT4
2105648,"Osteotomy; calcaneus (eg, Dwyer or Chambers type procedure), with or without internal fixation",CPT4
2105664,"Osteotomy, with or without lengthening, shortening or angular correction, metatarsal; other than first metatarsal, each",CPT4
2105668,"Reconstruction, angular deformity of toe, soft tissue procedures only (eg, overlapping second toe, fifth toe, curly toes)",CPT4
2105721,"Closed treatment of metatarsal fracture; without manipulation, each",CPT4
