concept_id,concept_name,vocabulary_id,table
3005322,IgE [Units/volume] in Serum or Plasma,LOINC,measurement
3007857,Nortriptyline [Mass/volume] in Serum or Plasma,LOINC,measurement
3005335,Cystine [Moles/volume] in Serum or Plasma,LOINC,measurement
3009542,Hematocrit [Volume Fraction] of Blood,LOINC,measurement
3005629,Inhaled oxygen flow rate,LOINC,measurement
3009583,Codeine [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3005673,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,LOINC,measurement
3009596,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,LOINC,measurement
3002069,Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma,LOINC,measurement
3009710,Isopropanol [Mass/volume] in Serum or Plasma,LOINC,measurement
3005738,Deprecated Streptococcus pneumoniae 23 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,measurement
3010156,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,LOINC,measurement
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,LOINC,measurement
3005757,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC,measurement
3010457,Eosinophils/100 leukocytes in Blood by Automated count,LOINC,measurement
3002140,Complement C1q [Mass/volume] in Serum or Plasma,LOINC,measurement
3010625,Cortisone [Mass/time] in 24 hour Urine,LOINC,measurement
3005770,Creatinine renal clearance in 24 hour Urine and Serum or Plasma,LOINC,measurement
3011003,Haemophilus influenzae B IgG Ab [Mass/volume] in Serum by Immunoassay,LOINC,measurement
3005839,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,LOINC,measurement
3006775,Deprecated Streptococcus pneumoniae 4 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3006889,Leucine [Moles/volume] in Serum or Plasma,LOINC,measurement
3006957,Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,LOINC,measurement
3011657,Norepinephrine [Mass/time] in 24 hour Urine,LOINC,measurement
3007061,Streptolysin O Ab [Units/volume] in Serum by Latex agglutination,LOINC,measurement
3007144,Neutrophils/100 leukocytes in Bronchial specimen,LOINC,measurement
3007164,IgA [Mass/volume] in Serum or Plasma,LOINC,measurement
3012565,Volume of 24 hour Urine,LOINC,measurement
3012920,Ethanol [Mass/volume] in Serum or Plasma,LOINC,measurement
3008108,Hematocrit [Volume Fraction] of Body fluid,LOINC,measurement
3008269,Chromium [Mass/volume] in Serum or Plasma,LOINC,measurement
3013201,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,LOINC,measurement
3008364,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,LOINC,measurement
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,measurement
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,LOINC,measurement
3013727,Leukocytes other/100 leukocytes in Blood,LOINC,measurement
3009010,Asparagine [Moles/volume] in Serum or Plasma,LOINC,measurement
3013751,cloZAPine [Mass/volume] in Serum or Plasma,LOINC,measurement
3009178,Nicotine [Mass/volume] in Serum or Plasma,LOINC,measurement
3009827,Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma,LOINC,measurement
3015330,Alpha-2-Retinol binding protein [Mass/volume] in Serum or Plasma,LOINC,measurement
3010300,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose,LOINC,measurement
3010503,CD19 cells [#/volume] in Blood,LOINC,measurement
3016228,CD19 cells/100 cells in Blood,LOINC,measurement
3010517,Carboxyhemoglobin/Hemoglobin.total in Venous blood,LOINC,measurement
3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC,measurement
3010910,Erythrocytes [#/volume] in Body fluid,LOINC,measurement
3016520,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,measurement
3002278,Androstenedione [Mass/volume] in Serum or Plasma,LOINC,measurement
3016723,Creatinine [Mass/volume] in Serum or Plasma,LOINC,measurement
3011337,Aldosterone [Mass/volume] in Serum or Plasma,LOINC,measurement
3011547,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC,measurement
3002551,Phenytoin Free/Phenytoin.total in Serum or Plasma,LOINC,measurement
3011793,Glutamate [Moles/volume] in Serum or Plasma,LOINC,measurement
3017250,Creatinine [Mass/volume] in Urine,LOINC,measurement
3011960,Natriuretic peptide B [Mass/volume] in Serum or Plasma,LOINC,measurement
3012336,Haptoglobin [Mass/volume] in Serum or Plasma,LOINC,measurement
3012377,Coagulation studies (set),LOINC,measurement
3012917,Deprecated Streptococcus pneumoniae 8 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3012984,Norclozapine [Mass/volume] in Serum or Plasma,LOINC,measurement
3012989,Citrate [Moles/time] in 24 hour Urine,LOINC,measurement
3013429,Basophils [#/volume] in Blood by Automated count,LOINC,measurement
3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,LOINC,measurement
3013869,Basophils/100 leukocytes in Blood by Automated count,LOINC,measurement
3014007,Fractional oxyhemoglobin in Arterial blood,LOINC,measurement
3014078,IgG synthesis rate [Mass/time] in Serum and CSF by calculation,LOINC,measurement
3017330,Ornithine [Moles/volume] in Serum or Plasma,LOINC,measurement
3017394,Zinc [Mass/volume] in Serum or Plasma,LOINC,measurement
3003245,Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma,LOINC,measurement
3015021,Porphobilinogen [Mass/volume] in 24 hour Urine,LOINC,measurement
3017597,Amitriptyline [Mass/volume] in Serum or Plasma,LOINC,measurement
3017766,Complement C4 [Mass/volume] in Serum or Plasma,LOINC,measurement
3015200,Metanephrine [Mass/volume] in Serum or Plasma,LOINC,measurement
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC,measurement
3016426,Methylmalonate [Moles/volume] in Serum or Plasma,LOINC,measurement
3018465,Oxygen saturation in Mixed venous blood,LOINC,measurement
3016450,Mercury [Mass/volume] in Blood,LOINC,measurement
3018808,LORazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3016662,Creatinine [Mass/volume] in Body fluid,LOINC,measurement
3019531,Acetone [Mass/volume] in Serum or Plasma,LOINC,measurement
3019652,Selenium [Mass/volume] in Serum or Plasma,LOINC,measurement
3016811,Deprecated Streptococcus pneumoniae 19 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3019660,Alloisoleucine [Moles/volume] in Serum or Plasma,LOINC,measurement
3016851,Normetanephrine [Mass/volume] in Serum or Plasma,LOINC,measurement
3016991,Thyroxine (T4) [Mass/volume] in Serum or Plasma,LOINC,measurement
3017085,Methionine [Moles/volume] in Serum or Plasma,LOINC,measurement
3020416,Erythrocytes [#/volume] in Blood by Automated count,LOINC,measurement
3020725,Methylenedioxymethamphetamine [Mass/volume] in Urine,LOINC,measurement
3021220,Alpha hydroxyalprazolam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3021447,Carbon dioxide [Partial pressure] in Venous blood,LOINC,measurement
3022493,Free Hemoglobin [Mass/volume] in Plasma,LOINC,measurement
3022509,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3017197,Lymphocytes/100 leukocytes in Bronchial specimen,LOINC,measurement
3022533,CD3 cells/100 cells in Blood,LOINC,measurement
3017264,Hydroxyproline [Moles/volume] in Serum or Plasma,LOINC,measurement
3003562,Thiocyanate [Mass/volume] in Serum or Plasma,LOINC,measurement
3023261,lamoTRIgine [Mass/volume] in Serum or Plasma,LOINC,measurement
3017275,Cortisol [Mass/time] in 24 hour Urine,LOINC,measurement
3017886,Deprecated Streptococcus pneumoniae 9 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3023854,Nordiazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3024354,Oxygen [Partial pressure] in Venous blood,LOINC,measurement
3024561,Albumin [Mass/volume] in Serum or Plasma,LOINC,measurement
3024821,Threonine [Moles/volume] in Serum or Plasma,LOINC,measurement
3024865,Alpha tocopherol [Mass/volume] in Serum or Plasma,LOINC,measurement
3018405,Lactate [Moles/volume] in Arterial blood,LOINC,measurement
3024929,Platelets [#/volume] in Blood by Automated count,LOINC,measurement
3025313,Albumin [Mass/volume] in Body fluid,LOINC,measurement
3019420,Tryptase [Mass/volume] in Serum or Plasma,LOINC,measurement
3025411,PHENobarbital [Mass/volume] in Serum or Plasma,LOINC,measurement
3019550,Sodium [Moles/volume] in Serum or Plasma,LOINC,measurement
3019965,Metanephrine [Mass/time] in 24 hour Urine,LOINC,measurement
3004119,Hemoglobin [Mass/volume] in Venous blood,LOINC,measurement
3027126,Copper [Mass/volume] in Serum or Plasma,LOINC,measurement
3020716,Inhaled oxygen concentration,LOINC,measurement
3027946,Carbon dioxide [Partial pressure] in Arterial blood,LOINC,measurement
3021374,Sirolimus [Mass/volume] in Blood,LOINC,measurement
3028110,Bile acid [Moles/volume] in Serum or Plasma,LOINC,measurement
3021453,Eosinophils/100 leukocytes in Body fluid,LOINC,measurement
3028193,Bilirubin.total [Mass/volume] in Body fluid,LOINC,measurement
3028447,Cobalt [Mass/volume] in Serum or Plasma,LOINC,measurement
3022338,Retinol [Mass/volume] in Serum or Plasma,LOINC,measurement
3028639,carBAMazepine [Mass/volume] in Serum or Plasma,LOINC,measurement
3023103,Potassium [Moles/volume] in Serum or Plasma,LOINC,measurement
3029227,Varicella zoster virus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3023314,Hematocrit [Volume Fraction] of Blood by Automated count,LOINC,measurement
3029749,Triple phosphate crystals [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3023465,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,measurement
3029847,von Willebrand factor (vWf).collagen binding activity actual/normal in Platelet poor plasma by Immunoassay,LOINC,measurement
3023599,MCV [Entitic volume] by Automated count,LOINC,measurement
3030658,Nornicotine [Mass/volume] in Urine,LOINC,measurement
3024144,Protoporphyrin.zinc [Molar ratio] in Red Blood Cells,LOINC,measurement
3030934,Anabasine [Mass/volume] in Urine,LOINC,measurement
3004254,Isoleucine [Moles/volume] in Serum or Plasma,LOINC,measurement
3024928,Oxygen saturation in Venous blood,LOINC,measurement
3024980,IgG subclass 4 [Mass/volume] in Serum,LOINC,measurement
3031103,Voltage-gated potassium channel Ab [Moles/volume] in Serum,LOINC,measurement
3025159,Blasts/100 leukocytes in Blood,LOINC,measurement
3004501,Glucose [Mass/volume] in Serum or Plasma,LOINC,measurement
3025547,Thyroglobulin Ab [Units/volume] in Serum or Plasma,LOINC,measurement
3031306,Deprecated Calcidiol+Calciferol [Mass/volume] in Serum or Plasma,LOINC,measurement
3025673,Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO,LOINC,measurement
3032567,Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,measurement
3025911,Cotinine [Mass/volume] in Urine,LOINC,measurement
3026782,Osmolality of Urine,LOINC,measurement
3032682,Adenovirus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3027114,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,measurement
3032729,Buprenorphine [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3027476,Ascorbate [Mass/volume] in Serum or Plasma,LOINC,measurement
3033526,Urate [Mass/volume] in Urine,LOINC,measurement
3027970,Globulin [Mass/volume] in Serum by calculation,LOINC,measurement
3028167,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,LOINC,measurement
3028339,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum,LOINC,measurement
3028718,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma,LOINC,measurement
3033745,Troponin I.cardiac [Mass/volume] in Blood,LOINC,measurement
3029713,Protein.monoclonal band 1 [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,measurement
3034843,Oxazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3029815,Collection interval from baseline of Unspecified specimen,LOINC,measurement
3034962,Glucose [Mass/volume] in Capillary blood by Glucometer,LOINC,measurement
3030124,Herpes simplex virus 1+2 DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3035283,Acetylcholine receptor ganglionic neuronal Ab [Moles/volume] in Serum,LOINC,measurement
3030173,Ketones [Mass/volume] in Urine by Automated test strip,LOINC,measurement
3035350,Ketones [Presence] in Urine by Test strip,LOINC,measurement
3004722,Prolactin [Mass/volume] in Serum or Plasma,LOINC,measurement
3030959,Coagulation factor X activity actual/normal in Platelet poor plasma by Chromogenic method,LOINC,measurement
3037556,Urate [Mass/volume] in Serum or Plasma,LOINC,measurement
3032842,CD3+CD16+CD56+ cells [#/volume] in Blood,LOINC,measurement
3038071,Oxygen [Partial pressure] in Mixed venous blood,LOINC,measurement
3038207,HIV 1 RNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3035015,Normetanephrine [Mass/time] in 24 hour Urine,LOINC,measurement
3038989,Phosphate crystals amorphous [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3039499,"1,5-Anhydroglucitol [Mass/volume] in Serum or Plasma",LOINC,measurement
3035124,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,LOINC,measurement
3041086,Calcium oxalate crystals [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3042149,Urate crystals [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3042211,Deprecated Streptococcus pneumoniae 2 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3036955,Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma,LOINC,measurement
3037491,Amphetamines [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3046152,Trichomonas sp [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3037511,Lymphocytes/100 leukocytes in Blood by Automated count,LOINC,measurement
3046664,Lipoprotein a [Moles/volume] in Serum or Plasma,LOINC,measurement
3038601,CD4 stimulated ATP immune response [Mass/volume] in Blood,LOINC,measurement
3047596,Herpes virus 6 DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3048415,Thrombin time in Platelet poor plasma by Coagulation assay --after addition of heparinase,LOINC,measurement
3038664,Deprecated Streptococcus pneumoniae 43 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3050371,Gliadin peptide IgG Ab [Presence] in Serum by Immunoassay,LOINC,measurement
3039712,7-Aminoflunitrazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3039896,Glucose [Mass/volume] in Urine by Automated test strip,LOINC,measurement
3040975,7-Aminoclonazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
4091110,Type 1 hypersensitivity skin test,SNOMED,measurement
3041268,Histoplasma capsulatum Ag [Mass/volume] in Serum by Immunoassay,LOINC,measurement
4239408,Heart rate,SNOMED,measurement
4258677,Blood group typing,SNOMED,measurement
3041952,Clotting time of Blood by Thromboelastography,LOINC,measurement
40758310,Human epididymis protein 4 [Moles/volume] in Serum or Plasma,LOINC,measurement
3042272,von Willebrand factor (vWf) cleaving protease actual/normal in Platelet poor plasma by Chromogenic method,LOINC,measurement
40761484,Norfentanyl [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3043000,Haptoglobin [Mass/volume] in Serum or Plasma by Nephelometry,LOINC,measurement
40761549,Microalbumin ug/min [Mass/time] in 24 hour Urine,LOINC,measurement
3043147,Voltage-gated calcium channel P/Q type binding Ab [Moles/volume] in Serum,LOINC,measurement
40763528,Reticulocytes [#/volume] in Blood by Automated count,LOINC,measurement
40766061,RNA polymerase III Ab [Units/volume] in Serum by Immunoassay,LOINC,measurement
3044549,Streptococcus pneumoniae Danish serotype 19A IgG Ab [Mass/volume] in Serum,LOINC,measurement
40771875,HIV 2 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,measurement
45771331,Temperature,SNOMED,measurement
3045723,Viable cells/100 cells in Unspecified specimen,LOINC,measurement
3045807,Hemoglobin S/Hemoglobin.total in Blood by HPLC,LOINC,measurement
3046731,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3047826,Mullerian inhibiting substance [Mass/volume] in Serum or Plasma,LOINC,measurement
3048220,Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,LOINC,measurement
3048918,Histoplasma capsulatum Ag [Mass/volume] in Urine,LOINC,measurement
3005013,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,LOINC,measurement
3049862,Hemoglobin pattern [Interpretation] in Blood by HPLC,LOINC,measurement
3050068,Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),LOINC,measurement
3050218,Voriconazole [Mass/volume] in Serum or Plasma,LOINC,measurement
3051825,Creatinine [Mass/volume] in Blood,LOINC,measurement
4154790,Diastolic blood pressure,SNOMED,measurement
40760528,Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay,LOINC,measurement
3005031,Microalbumin [Mass/volume] in 24 hour Urine,LOINC,measurement
3000121,Eosinophils/100 leukocytes in Bronchial specimen,LOINC,measurement
40761530,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Urine by Confirmatory method",LOINC,measurement
3005109,Reducing substances [Mass/volume] in Stool,LOINC,measurement
40763517,Insulin Ab [Moles/volume] in Serum,LOINC,measurement
40765040,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC,measurement
3005478,Glucose [Mass/time] in 24 hour Urine,LOINC,measurement
40766830,Hemoglobin observations newborn screening panel,LOINC,measurement
3005577,Microalbumin [Mass/time] in 24 hour Urine,LOINC,measurement
3000310,Clozapine+Norclozapine [Mass/volume] in Serum or Plasma,LOINC,measurement
40769408,Clot angle in Blood by Thromboelastography,LOINC,measurement
3005715,Vancomycin [Mass/volume] in Serum or Plasma,LOINC,measurement
3000385,Deprecated Streptococcus pneumoniae 5 IgG Ab [Mass/volume] in Serum,LOINC,measurement
40770918,von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay,LOINC,measurement
3005785,Creatine kinase.MB [Mass/volume] in Serum or Plasma,LOINC,measurement
3000712,Streptococcus pneumoniae Danish serotype 9V IgG Ab [Units/volume] in Serum,LOINC,measurement
42869589,Cryoglobulin/Serum.total [Pure volume fraction] in Serum by Spun Westergren,LOINC,measurement
43055442,Apixaban [Mass/volume] in Serum or Plasma,LOINC,measurement
43055458,Rivaroxaban [Mass/volume] in Serum or Plasma,LOINC,measurement
3006217,Methemoglobin/Hemoglobin.total in Arterial blood,LOINC,measurement
3001127,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry,LOINC,measurement
3001420,Magnesium [Mass/volume] in Serum or Plasma,LOINC,measurement
3006615,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma,LOINC,measurement
3001784,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,LOINC,measurement
3006636,Metanephrines [Mass/time] in 24 hour Urine,LOINC,measurement
3002435,Spermatozoa Motile [Presence] in Semen by Light microscopy,LOINC,measurement
46234829,Other cells/100 leukocytes in Body fluid by Manual count,LOINC,measurement
3003159,Erythrocytes [#/volume] in Body fluid by Automated count,LOINC,measurement
3006653,Thiamine [Moles/volume] in Blood,LOINC,measurement
3003771,Antithrombin Ag actual/normal in Platelet poor plasma by Immunoassay,LOINC,measurement
3006675,Methylenedioxyamphetamine [Mass/volume] in Urine,LOINC,measurement
3006762,Serine [Moles/volume] in Serum or Plasma,LOINC,measurement
3004239,Creatinine [Mass/time] in 24 hour Urine,LOINC,measurement
3004248,Sex hormone binding globulin [Moles/volume] in Serum or Plasma,LOINC,measurement
3004775,Volume in Urine collected for unspecified duration,LOINC,measurement
3007332,Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO,LOINC,measurement
3004944,Lidocaine [Mass/volume] in Serum or Plasma,LOINC,measurement
3004955,Tyrosine [Moles/volume] in Serum or Plasma,LOINC,measurement
3007430,Valine [Moles/volume] in Serum or Plasma,LOINC,measurement
3005050,Acylcarnitine [Moles/volume] in Serum or Plasma,LOINC,measurement
3005190,oxyCODONE [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3008037,Lactate [Moles/volume] in Venous blood,LOINC,measurement
3005229,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,measurement
3008090,Dopamine [Mass/time] in 24 hour Urine,LOINC,measurement
3005353,Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC,measurement
3005491,Lactate [Moles/volume] in Plasma venous,LOINC,measurement
3008295,Osmolality of Serum or Plasma,LOINC,measurement
3006028,Cotinine [Mass/volume] in Serum or Plasma,LOINC,measurement
3008575,Glycine [Moles/volume] in Serum or Plasma,LOINC,measurement
3006906,Calcium [Mass/volume] in Serum or Plasma,LOINC,measurement
3009582,Glucose [Mass/volume] in Serum or Plasma --3 hours post 75 g glucose PO,LOINC,measurement
3006972,N-desalkylflurazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3009682,Cortisol [Mass/volume] in Serum or Plasma,LOINC,measurement
3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,measurement
3009927,Gastrin [Mass/volume] in Serum or Plasma,LOINC,measurement
3007256,Osmolality of Stool,LOINC,measurement
3010296,Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid,LOINC,measurement
3010641,Ethanol [Mass/volume] in Urine,LOINC,measurement
3007302,Hemoglobin [Mass/volume] in Mixed venous blood,LOINC,measurement
3010989,Calcitonin [Mass/volume] in Serum or Plasma,LOINC,measurement
3007352,Cholesterol in VLDL [Mass/volume] in Serum or Plasma,LOINC,measurement
3011424,Glucose [Mass/volume] in Blood by Automated test strip,LOINC,measurement
3007368,IgG [Mass/volume] in Cerebral spinal fluid,LOINC,measurement
3011483,Granular casts [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3007696,Carbon dioxide [Partial pressure] in Venous cord blood,LOINC,measurement
3011904,Phosphate [Mass/volume] in Serum or Plasma,LOINC,measurement
3007854,Proline [Moles/volume] in Serum or Plasma,LOINC,measurement
3011948,Monocytes/100 leukocytes in Blood by Automated count,LOINC,measurement
3011965,Urea nitrogen [Mass/volume] in Urine,LOINC,measurement
3012671,Monocytes+Macrophages/100 leukocytes in Body fluid,LOINC,measurement
3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,LOINC,measurement
3008342,Neutrophils/100 leukocytes in Blood by Automated count,LOINC,measurement
3013474,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3008377,Lysine [Moles/volume] in Serum or Plasma,LOINC,measurement
3013650,Neutrophils [#/volume] in Blood by Automated count,LOINC,measurement
3008511,Leukocytes other [#/volume] in Blood,LOINC,measurement
3013707,Erythrocyte sedimentation rate by Westergren method,LOINC,measurement
3009041,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,LOINC,measurement
3009118,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,LOINC,measurement
3009172,Alanine [Moles/volume] in Serum or Plasma,LOINC,measurement
3013741,HYDROmorphone [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,LOINC,measurement
3013770,Testosterone [Mass/volume] adjusted for sex hormone binding globulin in Serum or Plasma,LOINC,measurement
3009744,MCHC [Mass/volume] by Automated count,LOINC,measurement
3013784,Calcium.ionized [Moles/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE),LOINC,measurement
3009782,Hydroxyethylflurazepam [Mass/volume] in Urine by Confirmatory method,LOINC,measurement
3014390,Basophils/100 leukocytes in Bronchial specimen,LOINC,measurement
